icao,lat,lon
EG-0006,30.329104,32.266932
EG-0002,30.594704,31.66493
EG-0001,31.043742,30.664859
EG-0003,30.42060089111328,31.67889976501465
EG-0032,27.42739,33.66568
EG-0004,30.194401,33.4128
EG-0017,31.34512,30.97628
EG-0005,30.423772,32.336369
EG-AUE,28.899694,33.202057
EG-0057,28.675985,33.358955
EG-0024,22.63762,31.85165
EG-0025,22.75142,32.26982
EG-0026,23.25856,32.71406
EG-0016,22.81773,31.46269
EG-0021,30.056542,32.540474
EG-0051,30.04307,32.58078
EG-0020,30.03155,31.21808
EG-0007,29.34741,31.29848
EG-0027,27.203443,31.186071
EG-0044,29.48154,32.44888
EG-0045,29.74756,32.37093
EG-0046,29.87089,32.47481
EG-0047,29.96781,32.37697
EG-0049,31.09078,32.27712
EG-0012,26.14304,32.16637
EG-0011,31.144695,33.827079
EG-0015,26.71641,31.58357
EG-0030,28.22944,33.63996
EG-0022,27.032601,28.126566
EG-0023,27.056642,27.991662
EG-0018,30.99648,29.72718
EG-0019,31.09911,30.95668
EG-0048,30.23642,32.39243
EG-0013,29.969207,31.245525
EG-0014,26.01157,32.31584
EG-0008,29.0347,31.11884
EG-0009,29.00758,31.15666
EG-0050,31.21905,32.37619
EG-0052,28.9424,33.18593
EG-0053,28.89852,33.18131
EG-0054,28.89156,33.18209
EG-0055,28.6642,33.20473
EG-0056,28.6886,33.35797
EG-0010,28.303175,33.114767
EG-0033,27.74896,33.5533
EG-0034,27.73377,33.50923
EG-0035,28.05026,33.33887
EG-0036,28.13711,33.27775
EG-0037,28.3233,33.11003
EG-0038,28.39116,33.07199
EG-0039,28.3962,133.07133
EG-0040,28.39621,33.07133
EG-0041,28.49013,32.97593
EG-0042,28.5508,32.92708
EG-0043,28.73211,32.81604
EG-0029,28.5672,33.95215
EG-0031,27.8977,34.32271
EG-0028,29.447978,34.848794
